hh_id,cluster,lat,lon
H1400001,14,-15.76493294,35.03414784
H1400003,14,-15.76452521,35.03400458
H1400004,14,-15.7644424,35.0336888
H1400004,14,-15.7644424,35.0336888
H1400005,14,-15.76455888,35.03336332
H1400006,14,-15.76448268,35.03293791
H1400007,14,-15.76468346,35.03286977
H1400008,14,-15.76515832,35.03326473
H1400009,14,-15.76526454,35.03347792
H1400010,14,-15.76534052,35.03333988
H1400012,14,-15.7654917,35.03339822
H1400013,14,-15.76560416,35.03346959
H1400014,14,-15.76561428,35.03389607
H1400015,14,-15.76537995,35.03303562
H1400016,14,-15.76543278,35.03488114
H1400017,14,-15.76539991,35.03494533
H1400017,14,-15.76539991,35.03494533
H1400018,14,-15.76623212,35.03518872
H1400018,14,-15.76623212,35.03518872
H1400019,14,-15.76454385,35.03564563
H1400019,14,-15.76454385,35.03564563
H1400022,14,-15.76415892,35.03520398
H1400022,14,-15.76415892,35.03520398
H1400022,14,-15.76415892,35.03520398
H1400022,14,-15.76415892,35.03520398
H1400022,14,-15.76415892,35.03520398
H1400024,14,-15.76115736,35.03258749
H1400025,14,-15.76269223,35.03527325
H1400026,14,-15.76263128,35.03448277
H1400026,14,-15.76263128,35.03448277
H1400028,14,-15.76280822,35.03552116
H1400028,14,-15.76280822,35.03552116
H1400028,14,-15.76280822,35.03552116
H1400028,14,-15.76280822,35.03552116
H1400028,14,-15.76280822,35.03552116
H1400029,14,-15.76260348,35.03566472
H1400029,14,-15.76260348,35.03566472
H1400029,14,-15.76260348,35.03566472
H1400030,14,-15.76207863,35.03587292
H1400030,14,-15.76207863,35.03587292
H1400031,14,-15.76147844,35.03563466
H1400031,14,-15.76147844,35.03563466
H1400034,14,-15.76212672,35.03381757
H1400035,14,-15.76226583,35.03386971
H1400045,14,-15.76340226,35.03364437
H1400045,14,-15.76340226,35.03364437
H1400045,14,-15.76340226,35.03364437
H1400047,14,-15.76429464,35.03324501
H1400047,14,-15.76429464,35.03324501
H1400048,14,-15.76435111,35.03288223
H1400049,14,-15.76375466,35.03319068
H1400049,14,-15.76375466,35.03319068
H1400064,14,-15.76273168,35.03519796
H1400065,14,-15.76243589,35.03462595
H1400066,14,-15.76186824,35.03307234
H1400066,14,-15.76186824,35.03307234
H1400067,14,-15.76133878,35.03273619
H1400068,14,-15.7608815,35.03258236
H1400068,14,-15.7608815,35.03258236
H1400070,14,-15.76107059,35.03311771
H1400072,14,-15.76131536,35.03220255
H1400074,14,-15.76151924,35.03198043
H1400075,14,-15.76164455,35.03193096
H1400077,14,-15.76191741,35.03168533
H1400079,14,-15.76194719,35.03318098
H1400079,14,-15.76194719,35.03318098
H1400081,14,-15.76096182,35.03265081
H1400081,14,-15.76096182,35.03265081
H1400081,14,-15.76096182,35.03265081
H1400082,14,-15.75853317,35.0338802
H1400083,14,-15.7589826,35.03330557
H1400085,14,-15.76288547,35.0344245
H1400085,14,-15.76288547,35.0344245
H1400086,14,-15.76295476,35.03440885
H1400088,14,-15.76281298,35.03420979
H1400089,14,-15.76299388,35.03365648
H1400091,14,-15.76297103,35.03373116
H1400092,14,-15.76265309,35.03375868
H1400096,14,-15.76248834,35.0332517
H1400096,14,-15.76248834,35.0332517
H1400096,14,-15.76248834,35.0332517
H1400097,14,-15.76299054,35.03193388
H1400099,14,-15.76183385,35.03216091
H1400099,14,-15.76183385,35.03216091
H1400101,14,-15.76288087,35.03295234
H1400101,14,-15.76288087,35.03295234
H1400101,14,-15.76288087,35.03295234
H1400103,14,-15.7589694,35.03446949
H1400103,14,-15.7589694,35.03446949
H1400104,14,-15.75873045,35.03456207
H1400104,14,-15.75873045,35.03456207
H1400105,14,-15.75876199,35.03400234
H1400105,14,-15.75876199,35.03400234
H1400105,14,-15.75876199,35.03400234
H1400106,14,-15.76364607,35.03401927
H1400107,14,-15.7636751,35.03386996
H1400107,14,-15.7636751,35.03386996
H1400107,14,-15.7636751,35.03386996
H1400110,14,-15.76380492,35.03364531
H1400112,14,-15.76416353,35.0335821
H1400113,14,-15.76441945,35.03274526
H1400113,14,-15.76441945,35.03274526
H1400113,14,-15.76441945,35.03274526
H1400129,14,-15.76391186,35.03575772
H1400129,14,-15.76391186,35.03575772
H1400129,14,-15.76391186,35.03575772
H1400129,14,-15.76391186,35.03575772
H1400130,14,-15.76437108,35.03597145
H1400131,14,-15.76430078,35.03611303
H1400131,14,-15.76430078,35.03611303
H1400132,14,-15.76425091,35.03607237
H1400133,14,-15.76513731,35.0358765
H1400134,14,-15.76517119,35.03654881
H1400135,14,-15.7654164,35.03728419
H1400135,14,-15.7654164,35.03728419
H1400136,14,-15.76517006,35.03519232
H1400136,14,-15.76517006,35.03519232
H1400148,2,-15.77746011,35.04564891
H1400149,2,-15.77733202,35.04574614
H1400151,2,-15.77718547,35.04573504
