hh_id,cluster,lat,lon
H1200001,12,-15.77239663,35.03072911
H1200001,12,-15.77239663,35.03072911
H1200002,12,-15.77195995,35.03071238
H1200002,12,-15.77195995,35.03071238
H1200002,12,-15.77195995,35.03071238
H1200002,12,-15.77195995,35.03071238
H1200003,12,-15.77151859,35.03068799
H1200005,12,-15.77166476,35.03002426
H1200005,12,-15.77166476,35.03002426
H1200006,12,-15.77196879,35.02984741
H1200007,12,-15.77196133,35.02989416
H1200008,12,-15.77199363,35.02985761
H1200010,12,-15.77200506,35.02952794
H1200011,12,-15.77200363,35.02940992
H1200011,12,-15.77200363,35.02940992
H1200011,12,-15.77200363,35.02940992
H1200012,12,-15.77257288,35.03029085
H1200012,12,-15.77257288,35.03029085
H1200012,12,-15.77257288,35.03029085
H1200013,12,-15.77300564,35.02996067
H1200013,12,-15.77300564,35.02996067
H1200014,12,-15.77158339,35.02929362
H1200022,12,-15.76909565,35.03005666
H1200022,12,-15.76909565,35.03005666
H1200024,12,-15.76925342,35.02936931
H1200025,12,-15.76918042,35.02909212
H1200026,12,-15.76902121,35.02940092
H1200027,12,-15.76889842,35.02938537
H1200030,12,-15.76876383,35.02989461
H1200030,12,-15.76876383,35.02989461
H1200032,12,-15.76871219,35.02891052
H1200033,12,-15.76857844,35.02903013
H1200034,12,-15.77175141,35.03162042
H1200034,12,-15.77175141,35.03162042
H1200035,12,-15.77198839,35.03177237
H1200043,12,-15.76936956,35.02982765
H1200043,12,-15.76936956,35.02982765
H1200044,12,-15.76937353,35.02968612
H1200045,12,-15.76935925,35.02927253
H1200045,12,-15.76935925,35.02927253
H1200048,12,-15.77248219,35.03166979
H1200048,12,-15.77248219,35.03166979
H1200049,12,-15.77221604,35.03154998
H1200049,12,-15.77221604,35.03154998
H1200051,12,-15.77203776,35.03148391
H1200051,12,-15.77203776,35.03148391
H1200051,12,-15.77203776,35.03148391
H1200052,12,-15.77190002,35.03121635
H1200054,12,-15.77233952,35.03118753
H1200054,12,-15.77233952,35.03118753
H1200055,12,-15.77179027,35.03080073
H1200055,12,-15.77179027,35.03080073
H1200055,12,-15.77179027,35.03080073
H1200064,12,-15.77210872,35.03072836
H1200064,12,-15.77210872,35.03072836
H1200065,12,-15.77167165,35.0307884
H1200065,12,-15.77167165,35.0307884
H1200065,12,-15.77167165,35.0307884
H1200065,12,-15.77167165,35.0307884
H1200085,12,-15.77249288,35.03203103
H1200085,12,-15.77249288,35.03203103
H1200086,12,-15.77240417,35.03214158
H1200088,12,-15.77210164,35.03145207
H1200088,12,-15.77210164,35.03145207
H1200088,12,-15.77210164,35.03145207
H1200088,12,-15.77210164,35.03145207
H1200088,12,-15.77210164,35.03145207
H1200089,12,-15.77223086,35.03144351
H1200090,12,-15.77161196,35.03200319
H1200090,12,-15.77161196,35.03200319
H1200090,12,-15.77161196,35.03200319
H1200090,12,-15.77161196,35.03200319
H1200091,12,-15.77173561,35.03213457
H1200091,12,-15.77173561,35.03213457
H1200091,12,-15.77173561,35.03213457
H1200092,12,-15.77159588,35.03223228
H1200092,12,-15.77159588,35.03223228
H1200093,12,-15.7715784,35.03208406
H1200094,12,-15.77131782,35.03230414
H1200094,12,-15.77131782,35.03230414
H1200095,12,-15.77131853,35.03197659
H1200095,12,-15.77131853,35.03197659
H1200097,12,-15.77137139,35.03258958
H1200097,12,-15.77137139,35.03258958
H1200097,12,-15.77137139,35.03258958
H1200098,12,-15.77278166,35.03297001
H1200106,12,-15.77059393,35.03177216
H1200106,12,-15.77059393,35.03177216
H1200106,12,-15.77059393,35.03177216
H1200107,12,-15.7704556,35.03157733
H1200107,12,-15.7704556,35.03157733
H1200108,12,-15.77044333,35.03168914
H1200108,12,-15.77044333,35.03168914
H1200110,12,-15.77074011,35.03132263
H1200110,12,-15.77074011,35.03132263
H1200111,12,-15.7703584,35.03120129
H1200111,12,-15.7703584,35.03120129
H1200112,12,-15.77054945,35.03073771
H1200112,12,-15.77054945,35.03073771
H1200112,12,-15.77054945,35.03073771
H1200115,12,-15.77189214,35.03119758
H1200116,12,-15.77035757,35.03093499
H1200117,12,-15.77218423,35.03097633
H1200118,12,-15.77170689,35.03166305
H1200119,12,-15.77102874,35.03110487
H1200128,12,-15.77070832,35.03226826
H1200129,12,-15.77047553,35.03235167
H1200130,12,-15.77053416,35.03236338
H1200132,12,-15.77033676,35.0326557
H1200132,12,-15.77033676,35.0326557
H1200132,12,-15.77033676,35.0326557
H1200134,12,-15.77027431,35.03271451
H1200134,12,-15.77027431,35.03271451
H1200136,12,-15.77072269,35.03294049
H1200138,12,-15.77064545,35.03292873
H1200138,12,-15.77064545,35.03292873
H1200139,12,-15.77113754,35.0317903
H1200141,12,-15.77009163,35.03237955
H1200148,12,-15.77248846,35.0319178
H1200148,12,-15.77248846,35.0319178
H1200149,12,-15.77236817,35.03220617
H1200149,12,-15.77236817,35.03220617
H1200152,12,-15.77256836,35.03235179
