hh_id,cluster,lat,lon
H0400002,4,-15.7769287,35.03986601
H0400002,4,-15.7769287,35.03986601
H0400002,4,-15.7769287,35.03986601
H0400003,4,-15.77684625,35.04106436
H0400004,4,-15.77627037,35.04167707
H0400004,4,-15.77627037,35.04167707
H0400006,4,-15.77648027,35.04236651
H0400007,4,-15.77648135,35.03884261
H0400007,4,-15.77648135,35.03884261
H0400008,4,-15.77464593,35.04107952
H0400009,4,-15.77434531,35.04124492
H0400009,4,-15.77434531,35.04124492
H0400009,4,-15.77434531,35.04124492
H0400010,4,-15.7742253,35.041268
H0400010,4,-15.7742253,35.041268
H0400010,4,-15.7742253,35.041268
H0400010,4,-15.7742253,35.041268
H0400011,4,-15.77424527,35.04150147
H0400011,4,-15.77424527,35.04150147
H0400012,4,-15.77473699,35.04198682
H0400012,4,-15.77473699,35.04198682
H0400012,4,-15.77473699,35.04198682
H0400012,4,-15.77473699,35.04198682
H0400013,4,-15.7748106,35.04167979
H0400013,4,-15.7748106,35.04167979
H0400014,4,-15.77477775,35.04142579
H0400014,4,-15.77477775,35.04142579
H0400024,4,-15.77684388,35.04115115
H0400024,4,-15.77684388,35.04115115
H0400025,4,-15.77622901,35.04171078
H0400025,4,-15.77622901,35.04171078
H0400027,4,-15.77666145,35.04236229
H0400027,4,-15.77666145,35.04236229
H0400028,4,-15.77667169,35.04216565
H0400028,4,-15.77667169,35.04216565
H0400029,4,-15.77470021,35.04102972
H0400029,4,-15.77470021,35.04102972
H0400030,4,-15.77457735,35.04112125
H0400030,4,-15.77457735,35.04112125
H0400030,4,-15.77457735,35.04112125
H0400031,4,-15.77430761,35.04140264
H0400032,4,-15.77403036,35.04146634
H0400033,4,-15.77429679,35.04179585
H0400033,4,-15.77429679,35.04179585
H0400033,4,-15.77429679,35.04179585
H0400043,4,-15.77588321,35.03899871
H0400043,4,-15.77588321,35.03899871
H0400043,4,-15.77588321,35.03899871
H0400043,4,-15.77588321,35.03899871
H0400044,4,-15.77592658,35.03880023
H0400045,4,-15.77573869,35.03891445
H0400046,4,-15.77558961,35.03945762
H0400046,4,-15.77558961,35.03945762
H0400047,4,-15.7755637,35.03950462
H0400048,4,-15.77531421,35.042331
H0400049,4,-15.77461744,35.04245281
H0400050,4,-15.77449174,35.04245327
H0400050,4,-15.77449174,35.04245327
H0400051,4,-15.77486988,35.04290689
H0400052,4,-15.77467198,35.04260989
H0400065,4,-15.77500517,35.04003347
H0400065,4,-15.77500517,35.04003347
H0400067,4,-15.77560889,35.04040316
H0400068,4,-15.77548481,35.04033767
H0400069,4,-15.7754659,35.04006193
H0400070,4,-15.77558571,35.04054799
H0400070,4,-15.77558571,35.04054799
H0400071,4,-15.77476722,35.04102482
H0400071,4,-15.77476722,35.04102482
H0400072,4,-15.77426721,35.04105421
H0400072,4,-15.77426721,35.04105421
H0400073,4,-15.77466801,35.04055672
H0400074,4,-15.77489475,35.04043278
H0400074,4,-15.77489475,35.04043278
H0400074,4,-15.77489475,35.04043278
H0400075,4,-15.77502907,35.04074084
H0400075,4,-15.77502907,35.04074084
H0400085,4,-15.77555816,35.03959909
H0400085,4,-15.77555816,35.03959909
H0400085,4,-15.77555816,35.03959909
H0400086,4,-15.77502186,35.04222372
H0400086,4,-15.77502186,35.04222372
H0400087,4,-15.77430766,35.04276903
H0400088,4,-15.77440408,35.04245821
H0400088,4,-15.77440408,35.04245821
H0400088,4,-15.77440408,35.04245821
H0400089,4,-15.77415089,35.04268564
H0400089,4,-15.77415089,35.04268564
H0400090,4,-15.77367083,35.04288588
H0400090,4,-15.77367083,35.04288588
H0400097,4,-15.77466903,35.04240985
H0400098,4,-15.77448275,35.04266036
H0400098,4,-15.77448275,35.04266036
H0400098,4,-15.77448275,35.04266036
H0400098,4,-15.77448275,35.04266036
H0400105,4,-15.77483867,35.04309159
H0400105,4,-15.77483867,35.04309159
H0400107,4,-15.77502193,35.03997575
H0400107,4,-15.77502193,35.03997575
H0400109,4,-15.77568516,35.0402682
H0400109,4,-15.77568516,35.0402682
H0400110,4,-15.77549428,35.0403583
H0400111,4,-15.77560394,35.04052947
H0400111,4,-15.77560394,35.04052947
H0400113,4,-15.77481093,35.04095716
H0400113,4,-15.77481093,35.04095716
H0400114,4,-15.77455196,35.04089306
H0400115,4,-15.77495482,35.04041789
H0400116,4,-15.77467325,35.04055243
H0400117,4,-15.77762523,35.03946207
H0400117,4,-15.77762523,35.03946207
H0400129,4,-15.77559038,35.04162186
H0400132,4,-15.77595566,35.04182093
H0400134,4,-15.77773113,35.04241164
H0400135,4,-15.77698968,35.04740035
H0400137,4,-15.77577245,35.04781397
H0400137,4,-15.77577245,35.04781397
H0400137,4,-15.77577245,35.04781397
H0400137,4,-15.77577245,35.04781397
H0400148,4,-15.77566164,35.0396495
H0400151,4,-15.7759412,35.03878084
H0400151,4,-15.7759412,35.03878084
H0400151,4,-15.7759412,35.03878084
H0400152,4,-15.77604005,35.03902248
H0400152,4,-15.77604005,35.03902248
