hh_id,cluster,lat,lon
H1000001,10,-15.76888434,35.04172121
H1000002,10,-15.76874808,35.04165781
H1000002,10,-15.76874808,35.04165781
H1000002,10,-15.76874808,35.04165781
H1000003,10,-15.76862724,35.04188241
H1000004,10,-15.76886092,35.04191169
H1000005,10,-15.76887177,35.04213293
H1000005,10,-15.76887177,35.04213293
H1000006,10,-15.76882078,35.04231691
H1000006,10,-15.76882078,35.04231691
H1000006,10,-15.76882078,35.04231691
H1000009,10,-15.76858961,35.04242204
H1000010,10,-15.76872082,35.04259317
H1000010,10,-15.76872082,35.04259317
H1000011,10,-15.76885727,35.04250404
H1000011,10,-15.76885727,35.04250404
H1000016,10,-15.76754365,35.04079244
H1000016,10,-15.76754365,35.04079244
H1000016,10,-15.76754365,35.04079244
H1000016,10,-15.76754365,35.04079244
H1000016,10,-15.76754365,35.04079244
H1000018,10,-15.76923708,35.0419527
H1000019,10,-15.76931166,35.04190926
H1000020,10,-15.76924987,35.04191718
H1000020,10,-15.76924987,35.04191718
H1000020,10,-15.76924987,35.04191718
H1000021,10,-15.7691599,35.0421846
H1000022,10,-15.76758162,35.03959391
H1000024,10,-15.76711049,35.03959544
H1000024,10,-15.76711049,35.03959544
H1000025,10,-15.76711991,35.03917014
H1000026,10,-15.76675612,35.03922829
H1000026,10,-15.76675612,35.03922829
H1000028,10,-15.76736652,35.04001284
H1000028,10,-15.76736652,35.04001284
H1000030,10,-15.76682319,35.03992713
H1000030,10,-15.76682319,35.03992713
H1000032,10,-15.76722923,35.03983547
H1000033,10,-15.76702696,35.04005014
H1000034,10,-15.76712302,35.03937236
H1000034,10,-15.76712302,35.03937236
H1000035,10,-15.76665078,35.03974817
H1000036,10,-15.7665599,35.03984311
H1000036,10,-15.7665599,35.03984311
H1000039,10,-15.76863655,35.04072875
H1000040,10,-15.76795779,35.04100915
H1000041,10,-15.76783362,35.04079841
H1000042,10,-15.76772801,35.04086343
H1000043,10,-15.76802328,35.0407054
H1000043,10,-15.76802328,35.0407054
H1000044,10,-15.76809495,35.04069709
H1000046,10,-15.76944538,35.04199558
H1000048,10,-15.76999876,35.0421826
H1000048,10,-15.76999876,35.0421826
H1000054,10,-15.76861111,35.04077233
H1000059,10,-15.76826653,35.04221329
H1000060,10,-15.76812827,35.04249644
H1000061,10,-15.7675697,35.04220769
H1000061,10,-15.7675697,35.04220769
H1000064,10,-15.76785843,35.03877106
H1000064,10,-15.76785843,35.03877106
H1000066,10,-15.76689499,35.03882527
H1000066,10,-15.76689499,35.03882527
H1000066,10,-15.76689499,35.03882527
H1000066,10,-15.76689499,35.03882527
H1000067,10,-15.7678704,35.03768112
H1000067,10,-15.7678704,35.03768112
H1000068,10,-15.76686421,35.03749468
H1000068,10,-15.76686421,35.03749468
H1000069,10,-15.76634783,35.03734877
H1000070,10,-15.76610718,35.03695347
H1000071,10,-15.76596926,35.03706347
H1000071,10,-15.76596926,35.03706347
H1000072,10,-15.76596944,35.03687348
H1000072,10,-15.76596944,35.03687348
H1000073,10,-15.76694884,35.03812243
H1000075,10,-15.76780202,35.0407764
H1000075,10,-15.76780202,35.0407764
H1000076,10,-15.76841182,35.03961841
H1000076,10,-15.76841182,35.03961841
H1000077,10,-15.76809185,35.03933117
H1000077,10,-15.76809185,35.03933117
H1000079,10,-15.7675747,35.03955116
H1000080,10,-15.76925301,35.03958238
H1000082,10,-15.76763877,35.03894372
H1000082,10,-15.76763877,35.03894372
H1000084,10,-15.7668227,35.04012462
H1000084,10,-15.7668227,35.04012462
H1000084,10,-15.7668227,35.04012462
H1000092,10,-15.76724693,35.04017687
H1000093,10,-15.76733744,35.0403867
H1000094,10,-15.76718346,35.04041885
H1000094,10,-15.76718346,35.04041885
H1000096,10,-15.76721645,35.04054657
H1000096,10,-15.76721645,35.04054657
H1000097,10,-15.7670131,35.04064563
H1000098,10,-15.76651116,35.04048047
H1000099,10,-15.76613445,35.04053956
H1000099,10,-15.76613445,35.04053956
H1000101,10,-15.76600341,35.04060228
H1000101,10,-15.76600341,35.04060228
H1000102,10,-15.76636685,35.04098526
H1000103,10,-15.76697848,35.040189
H1000103,10,-15.76697848,35.040189
H1000104,10,-15.76687104,35.04028384
H1000104,10,-15.76687104,35.04028384
H1000105,10,-15.76693448,35.04033906
H1000105,10,-15.76693448,35.04033906
H1000105,10,-15.76693448,35.04033906
H1000107,10,-15.76811825,35.04020148
H1000108,10,-15.76754173,35.04074144
H1000108,10,-15.76754173,35.04074144
H1000108,10,-15.76754173,35.04074144
H1000108,10,-15.76754173,35.04074144
H1000109,10,-15.76834296,35.03948948
H1000109,10,-15.76834296,35.03948948
H1000110,10,-15.76795805,35.03926945
H1000112,10,-15.76762849,35.04017648
H1000112,10,-15.76762849,35.04017648
H1000113,10,-15.76774469,35.04024326
H1000113,10,-15.76774469,35.04024326
H1000114,10,-15.76748343,35.04039769
H1000114,10,-15.76748343,35.04039769
H1000114,10,-15.76748343,35.04039769
H1000115,10,-15.76745864,35.0390136
H1000115,10,-15.76745864,35.0390136
H1000115,10,-15.76745864,35.0390136
H1000116,10,-15.76552597,35.03825004
H1000128,10,-15.76872146,35.04188864
H1000129,10,-15.76907328,35.04219413
H1000130,10,-15.76866648,35.04216185
H1000131,10,-15.7682683,35.04256009
H1000132,10,-15.76835896,35.04202393
H1000132,10,-15.76835896,35.04202393
H1000133,10,-15.7686213,35.04281784
H1000133,10,-15.7686213,35.04281784
H1000134,10,-15.76878881,35.04255382
